country,deleted,description,effective_date,end_date,form_name_classification,legacy_return_name,major,minor,preview_image,purpose,region,revision,scope_level_guess,status,tax_form_code,tax_form_name
US,False,"Sales, Use and Withholding Taxes Amended Annual Return",2026-01-01T00:00:00,9999-12-31T00:00:00,likely_official_or_near_official,USMI5082AMENDED,1,0,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/353b04e8-5eb5-4b6f-936f-e0ee2ced28f9.png,,MI,16,likely_state_or_province_level,PRODUCTION,USMI5082AMENDED,MI 5082 Amended Sales Tax Return
US,False,"Sales, Use and Withholding Taxes Amended Monthly/Quarterly Return",2026-01-01T00:00:00,9999-12-31T00:00:00,likely_official_or_near_official,USMI5092AMENDED,1,0,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/59dbd4f1-cc0e-4f79-a770-2dc1c63a3fc8.png,,MI,27,likely_state_or_province_level,PRODUCTION,USMI5092AMENDED,MI 5092 AMENDED
US,False,Sales and Use Tax Worksheet,2026-01-01T00:00:00,9999-12-31T00:00:00,likely_official_or_near_official,MNPV49,2,0,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/645b2c99-c241-4077-af4b-3a7ccf3c94ca.png,,MN,309,likely_state_or_province_level,PRODUCTION,USMNPV49,MN PV49
US,False,(EXPIRED) - Sales and Use Tax Worksheet,2017-07-01T00:00:00,2017-07-31T00:00:00,likely_official_or_near_official,MNST1,1,0,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/ec197b52-6fce-4779-af8d-08d35e1e1141.png,,MN,21,likely_state_or_province_level,PRODUCTION,USMNST1,MN ST1
US,False,Consolidated Sales and Use Tax Worksheet,2015-11-01T00:00:00,9999-12-31T00:00:00,likely_official_or_near_official,MNST1CS,1,0,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/c738b9c9-4c7f-45f2-a454-f80202778daa.png,,MN,155,likely_state_or_province_level,PRODUCTION,USMNST1CS,MN ST1 Consolidated
US,False,Sales Tax Return,2024-08-01T00:00:00,9999-12-31T00:00:00,likely_official_or_near_official,MO531,1,0,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/3a0e380b-f959-4e0c-8891-53b802a08bb4.png,,MO,143,likely_state_or_province_level,PRODUCTION,USMO531,MO 531
US,False,Missouri 53-1 Outlet Form,2017-01-01T00:00:00,9999-12-31T00:00:00,likely_official_or_near_official,MO531OUTLET,1,0,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/d29ce443-4ee5-451c-ab2f-f7b6a1599891.png,,MO,2,likely_state_or_province_level,PRODUCTION,USMO531OUTLET,MO 531 OUTLET
US,False,Consumer's Use Tax Return,2023-09-01T00:00:00,9999-12-31T00:00:00,likely_official_or_near_official,MO53C,1,0,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/31a0b514-bd6d-41c3-979f-4e0dce6d01db.png,,MO,61,likely_state_or_province_level,PRODUCTION,USMO53C,MO 53C
US,False,Vendor's Use Tax Return,2023-09-01T00:00:00,9999-12-31T00:00:00,likely_official_or_near_official,MO53VLONG,1,0,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/a4baf57b-b1b4-473d-98bb-af3caa26e982.png,,MO,159,likely_state_or_province_level,PRODUCTION,USMO53V,MO 53V
US,False,Sales Tax Return,2026-02-01T00:00:00,9999-12-31T00:00:00,likely_official_or_near_official,MS72010,1,0,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/54753f4c-da5e-4c36-8629-394485404975.png,,MS,106,likely_state_or_province_level,PRODUCTION,USMS72010,MS 72010
US,False,Mississippi Sales Tax Outlet Return,2025-08-01T00:00:00,9999-12-31T00:00:00,likely_official_or_near_official,MS72010OUTLETS,1,0,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/053cc0bf-6fc3-45e2-a00d-068787264a87.png,,MS,95,likely_state_or_province_level,PRODUCTION,USMS72010OUTLETS,MS 72010 Outlets
US,False,Use Tax Return,2025-07-01T00:00:00,9999-12-31T00:00:00,likely_official_or_near_official,MS72110015,1,0,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/4261f636-a036-42b7-a778-5ba93d7d18bf.png,,MS,49,likely_state_or_province_level,PRODUCTION,USMS72110015,MS 72110
US,False,Sales and Use Tax Return,2025-10-01T00:00:00,9999-12-31T00:00:00,likely_official_or_near_official,NCE500E536,1,0,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/d675ab75-1243-445b-a6a3-03abc6d8f48d.png,,NC,138,likely_state_or_province_level,PRODUCTION,USNCE500E536,NC E500 E536
US,False,"Machinery, Equipment, and Fuel Tax Return",2010-09-01T00:00:00,2023-07-31T00:00:00,likely_official_or_near_official,NCE500J,1,0,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/b3072b51-5950-4b9a-ae71-6c6ffc81ea65.png,,NC,4,likely_state_or_province_level,PRODUCTION,USNCE500J,NC E500J
US,False,"Sales, Use and Gross Receipts Tax",2026-01-01T00:00:00,9999-12-31T00:00:00,likely_official_or_near_official,NDST1,1,0,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/b5defb18-72af-40bc-b65b-ae73e70bcd1d.png,,ND,128,likely_state_or_province_level,PRODUCTION,USNDST1,ND ST1
US,False,Nebraska and Local Sales and Use Tax Return with Schedule II,2026-01-01T00:00:00,9999-12-31T00:00:00,likely_official_or_near_official,NEFORM10COMBINED,1,0,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/b0733751-26e7-4568-9f51-faa361e3094f.png,,NE,242,likely_state_or_province_level,PRODUCTION,USNEFORM10COMBINED,NE Form 10 Combined
US,False,Sports and Entertainment Tax - Millville District,2018-10-01T00:00:00,9999-12-31T00:00:00,likely_official_or_near_official,NJSM100,1,0,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/fbddc3c8-59fd-450c-a68e-3e828215aaa2.png,,NJ,2,likely_state_or_province_level,PRODUCTION,USNJSM100,NJ SM 100
